ID,Description,Calories,Protein,TotalFat,Carbohydrate
2047,"SALT,TABLE",0,0,0,0
2048,"VINEGAR,CIDER",21,0,0,0.93
2053,"VINEGAR,DISTILLED",18,0,0,0.04
2073,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",188,0,0,56.29
6597,"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",25,0,0,6.25
6598,"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",25,0,0,6.25
6600,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",25,0,0,6.25
6601,"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",38,0,0,9.38
6602,"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",25,0,0,6.25
6603,"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",25,0,0,6.25
6604,"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",50,0,0,12.5
6605,"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",25,0,0,6.25
6609,"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",5,0,0,1.28
6615,"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",5,0,0,1.28
6971,"SAUCE,WORCESTERSHIRE",78,0,0,19.46
14009,"ALCOHOLIC BEV,DAIQUIRI,CND",125,0,0,15.7
14027,"ALCOHOLIC BEV,WHISKEY SOUR,CND",119,0,0,13.4
14037,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",231,0,0,0
14049,"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",263,0,0,0
14050,"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",231,0,0,0
14051,"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",231,0,0,0
14052,"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",250,0,0,0.1
14121,"CARBONATED BEV,CLUB SODA",0,0,0,0
14130,"CARBONATED BEV,CRM SODA",51,0,0,13.3
14136,"CARBONATED BEV,GINGER ALE",34,0,0,8.77
14137,"TEA,RTD,NESTLE,COOL NESTEA ICE TEA LEMON FLAVOR",36,0,0,9.09
14142,"CARBONATED BEV,GRAPE SODA",43,0,0,11.2
14147,"CARBONATED BEV,COLA,WO/CAFFEINE",41,0,0,10.58
14148,"CARBONATED BEV,COLA,W/HIGHER CAFFEINE",41,0,0,10.58
14149,"CARBONATED BEV,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS",20,0,0,5.16
14150,"CARBONATED BEV,ORANGE",48,0,0,12.3
14155,"CARBONATED BEV,TONIC H2O",34,0,0,8.8
14157,"CARBONATED BEV,ROOT BEER",41,0,0,10.6
14166,"CARBONATED BEV,LO CAL,COLA OR PEPR,W/ NA SACC,CONTAINS CAFFN",0,0,0,0.1
14264,"FRUIT PUNCH DRK,WO/ ADDED NUTR,CND",48,0,0,11.97
14267,"FRUIT PUNCH DRK,W/ ADDED NUTR,CND",47,0,0,11.97
14277,"GRAPE DRINK,CANNED",61,0,0,15.75
14282,"GRAPE JUICE DRINK,CANNED",57,0,0,14.55
14303,"LIMEADE,FRZ CONC,PREP W/H2O",52,0,0,13.79
14352,"TEA,BLACK,BREWED,PREP W/ TAP H2O,DECAFFEINATED",1,0,0,0.3
14355,"TEA,BLACK,BREWED,PREP W/ TAP H2O",1,0,0,0.3
14381,"TEA,HERB,OTHER THAN CHAMOMILE,BREWED",1,0,0,0.2
14383,"SPORTS DRK,FRUIT-FLAVORED,LO CAL,RTD",11,0,0,3
14384,"WATER,BTLD,PERRIER",0,0,0,0
14385,"WATER,BTLD,POLAND SPRING",0,0,0,0
14407,"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR",386,0,0,98.94
14408,"ORANGE-FLAVOR DRK,BRKFST TYPE,PDR,PREP W/ H2O",49,0,0,12.65
14411,"WATER,TAP,DRINKING",0,0,0,0
14412,"WATER,TAP,WELL",0,0,0,0
14429,"WATER,TAP,MUNICIPAL",0,0,0,0
14432,"WATER,BTLD,NON-CARBONATED,DANNON",0,0,0,0
14433,"WATER,BTLD,NON-CARBONATED,PEPSI,AQUAFINA",0,0,0,0
14434,"WATER,BTLD,NON-CARBONATED,DASANI",0,0,0,0
14436,"ORANGE BRKFST DRK,RTD,W/ ADDED NUTR",53,0,0,13.2
14437,"WATER,BTLD,NON-CARBONATED,CALISTOGA",0,0,0,0
14438,"WATER,BTLD,NON-CARBONATED,CRYSTAL GEYSER",0,0,0,0
14439,"WATER,BTLD,NON-CARBONATED,NAYA",0,0,0,0
14440,"WATER,BTLD,NON-CARBONATED,DANNON FLUORIDE TO GO",0,0,0,0.03
14460,"SPORTS DRK,PEPSICO,GATORADE,FRUIT-FLAVORED,RTD",26,0,0,6.43
14462,"QUAKER OATS,PROPEL FITNESS H2O,FRUIT-FLAVORED,NON-CARBONATED",5,0,0,1.22
14475,"TEA,RTD,ARIZONA ICED TEA,W/ LEMON FLAVOR",39,0,0,9.77
14476,"TEA,RTD,LIPTON BRISK ICED TEA,W/ LEMON FLAVOR",35,0,0,8.81
14531,"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",149,0,0,13.1
14532,"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",275,0,0,0
14533,"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",295,0,0,0
14537,"CARBONATED BEV,LOCAL,OTHR THAN COLA OR PEP,W/ NA SAC,WO/ CAF",0,0,0,0.1
14544,"TEA,BLACK,BREWED,PREP W/ DISTILLED H2O",1,0,0,0.3
14545,"TEA,HERB,CHAMOMILE,BREWED",1,0,0,0.2
