ID,Sodium,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
4038,0,0,0,0,0,0,0,149.4,0
8504,813,,17.17,45,67.67,630,239.7,80.46,
25021,386,0,16.9,886,14.2,412,68,64.25,3.1
8590,242,0,14.3,47,8.7,296,89,58.96,0
4532,0,0,0,0,0,0,0,47.2,
8568,251,0,28,233,4.2,721,70,46.9,
8569,231,0,27,233,4.2,605,70,46.9,
8028,715,0,17,52,62,590,207,46.35,3.5
8246,698,0,11,3333,60,94,200,45,2.9
8058,690,0,13.3,16,60.3,167,204,45,3.3
8077,633,0,16.67,3333,60,300,200,45,8.3
8610,449,0,18,36,3.2,270,0,44.22,0
16155,420,0,10.47,43,16.6,667,0,43.2,0
16156,366,0,10.94,45,17.5,744,0,43.2,0
8611,437,0,21.5,45,25.3,148,47,42.3,3.1
8258,699,0,20,54,63,400,210,41.85,3.5
4506,0,0,0,0,0,0,0,41.08,0
4584,0,0,0,0,0,0,0,41.08,0
4060,0,0,0,0,0.03,0,0,41.08,
4545,0,0,0,0,0,0,0,41.08,
4642,0,0,0,0,0.03,0,0,41.08,
8387,253,0,17.7,42,5.5,286,91,40.95,0
25020,253,7,25,668,4.98,289,96.6,40.25,5.4
4529,0,0,0,0,0,0,0,39.2,0
2009,"1,640",0,7.19,330,17.3,"1,950",0.7,38.14,0
4687,670,,,4,0,4,,37.22,
8538,246,0,22.3,45,3.7,203,55,36.85,0
12038,3,0,3.11,87,4.28,483,1.1,36.33,0
12538,410,0,3.11,87,4.28,483,1.1,36.33,0
35232,25,0,0.43,27,1.47,553,,35.64,
4502,0,0,0,0,0,0,0,35.3,0
4702,0,0,0,0,0,0,0,35.3,0
12036,9,0,2.62,78,5.25,645,1.4,35.17,0
4511,0,0,0,0,0,0,0,34.1,0
4510,0,0,0,0,0,0,0,34.1,
4037,0,0,0,0,0.07,0,0,32.3,
25008,318,,26.26,,18.15,,176.4,30.5,4.5
25006,333,4,22.67,1495,17.95,,176.2,30.5,
2028,68,0,10.34,229,21.14,"2,280",0.9,29.83,0
2031,30,0,10.34,148,7.8,"2,014",76.4,29.83,0
8608,423,0,23.5,41,3.4,265,6,28.81,0
4517,0,0,0,0,0,0,0,28.8,
25016,383,4,28.71,754,16.31,351,489.9,27.53,4.5
8318,550,0,28,24,36,180,30,27,2
4684,714,,,,,,,26.63,
12061,1,0,3.89,264,3.72,705,0,26.22,0
12037,3,0,2.73,70,3.8,850,1.4,26.1,0
12537,410,0,2.73,70,3.8,850,1.4,26.1,0
12065,1,0,4.55,291,3.68,699,0,25.97,0
12565,339,0,4.55,291,3.68,699,0,25.97,0
8612,377,0,23.5,30,2.7,231,28,25.65,1.9
18979,283,0,0.4,40,6,418,20,25,
18982,240,0,0.6,53,6,436,20,25,
25005,418,3,33.04,953,14.67,,144.3,24.57,
8247,434,0,32.08,1887,33.96,528,0,24.55,4.7
25004,462,4,32.86,965,,,144.4,24.55,
12195,7,0,4.43,347,3.49,748,0,24.21,0
12695,215,0,4.43,347,3.49,748,0,24.21,0
25031,450,8,27,200,3.6,250,120,24,0
12063,3,0,4.93,267,3.83,712,0,23.8,0
12563,339,0,4.93,267,3.83,712,0,23.8,0
12062,19,0,4.63,236,3.28,659,0,23.75,0
8585,328,0,27.59,1724,31.03,241,0,23.28,4.3
12040,3,0,10.54,64,4.12,576,2.7,22.89,0
12540,331,0,10.54,64,4.12,576,2.7,22.89,0
8528,234,0,28,35,7.5,632,25,22.5,1.7
4026,568,59,0.48,18,0.5,34,0,22,
2015,52,0,2.76,478,29.59,"1,543",11.4,21.99,0
4678,0,0,0,,,,0,21.8,0
4685,0,,,,,,,21.64,
4613,615,1,0,21,0,30,0.1,21.12,0
4620,2,1,0,21,0,30,0.1,21.12,0
4694,785,1,0,21,0,30,0.1,21.12,10.7
4697,2,1,0,21,0,30,0.1,21.12,10.7
8085,11,0,24.85,50,8.05,964,0,20.22,0
4673,646,0,0,,,28,,19.34,
4534,0,0,0,0,0,0,0,19.1,
4556,0,0,,0,0,0,0,19,
4570,0,0,,0,0,0,0,19,
2027,25,0,4.09,1597,36.8,"1,260",2.3,18.26,0
8605,227,0,18,364,2.6,220,55,18.09,4.6
12121,0,0,3.49,149,3.3,658,2,17.5,0
4582,0,0,0,0,0,0,0,17.46,0
4698,0,0,0,0,0,0,0,17.46,0
4644,0,0,0,0,0,0,0,17.46,
4645,0,0,0,0,0,0,0,17.46,
4643,0,0,0,0,0,0,0,17.1,
43260,717,44,39,500,2.3,"1,705",138,16.88,0
25015,238,6,28.75,625,10.13,188,75,16.88,3.8
8087,552,0,20.69,345,62.07,293,51.7,16.29,3.5
8471,380,0,6.7,135,28,"1,111",72,16.2,
8084,4,0,7.8,45,9.09,947,6,15.99,0
4055,0,0,0,0,0.01,0,0,15.94,
4674,580,,,3,0,32,,15.75,
4042,0,0,0,0,0.03,0,0,15.69,0
4611,657,0,0,3,0,17,0.1,15.43,0
4618,28,0,0,3,0,17,0.1,15.43,0
4692,657,0,0,3,0,17,0.1,15.43,10.7
8067,658,0,12.1,25,28,66,68,15.3,0
8383,613,0,30.4,18,26.1,223,68,15.3,0
12122,0,0,4.89,123,4.38,755,3.8,15.28,0
12120,0,0,4.34,114,4.7,680,6.3,15.03,0
42289,0,0,0,0,0,0,0,14.84,0
44005,0,0,0,0,0.13,0,0,14.78,0
4588,0,0,0,0,0,0,0,14.4,
4053,2,0,0,1,0.56,1,0,14.35,0
4518,0,0,0,0,0,0,0,14.3,0
12071,9,0,36.25,172,1.6,314,0.1,13.54,0
4128,589,0,0,6,0.02,34,0.1,13.45,0
4690,589,0,0,6,0.02,34,0.1,13.45,10.7
4683,536,,,,,,,13,
19858,13,0,62.5,100,1.9,255,0,12.36,0
19326,7,0,39.19,1164,3.47,,42.6,12.27,
11548,134,0,43.9,166,4.56,"1,927",116.7,12.25,0
4543,0,0,0,0,0,0,0,12.1,0
4654,0,0,0,0,0,0,0,12.1,0
43598,486,0,0.3,7,0.23,14,0,11.79,0
4677,729,23,0,,,71,,11.78,
19410,388,0,1.14,27,0.82,751,8.2,11.4,0
4514,0,0,0,0,0,0,0,11.4,
19524,342,0,3.82,60,1.2,755,5,11.34,0
35207,310,,,18,3.53,458,0,11.3,
8481,900,0,33.33,333,30,167,20,11.25,3.3
8032,371,0,39.8,7,18.9,59,50,11.25,4.2
8618,443,0,38.78,18,15.42,93,52,11.25,4.2
8037,25,0,20,78,4.23,540,1.2,11.11,0
12635,669,0,4.64,70,3.7,597,0.4,10.94,0
8014,424,0,38.5,130,22.2,197,49,10.8,4.1
19440,246,136,38.78,1084,1.4,279,0.1,10.79,
2003,76,0,1.71,2240,89.8,"2,630",0.8,10.7,0
4689,848,33,5.38,13,0.31,63,0,10.41,
8065,561,0,10.9,7,34.4,88,47,10.35,3.8
16399,356,,3.11,45,1.67,780,,10.34,
35057,0,52,,0,0,0,0,10.28,0.7
25034,486,0,27.3,434,5.2,300,19.3,10.27,0
19328,40,0,34.96,1070,3.45,,37.9,10.13,
25012,35,0,8.82,59,2.12,925,0,9.82,0
3819,260,4,54,440,8.8,590,38,9.8,9.3
42227,45,8,49.22,155,1.73,381,0.6,9.52,0
1224,250,10,4,1200,12,840,42,9.45,7
43205,385,12,65.8,285,12.82,947,76.9,9.37,0
12147,2,0,3.59,16,5.53,597,0.8,9.33,0
4670,0,0,0,0,0.02,0,0,9.21,
42151,581,54,0,6,0.04,6,0,9.2,0
19327,8,0,38.99,985,3.18,,34.2,9.2,
19415,633,0,0.22,18,2.27,"1,237",47.3,9.11,0
19811,8,0,0.22,24,1.63,"1,275",31.1,9.11,0
8587,235,0,17.5,40,,229,0.7,9.09,1.9
42291,203,0,9.29,41,1.9,747,0,9.05,0
16150,540,0,9.28,35,1.9,669,0,9.04,0
4610,751,0,0,3,0.06,18,0.2,9,0
4617,2,0,0,3,0.06,18,0.2,9,0
3849,173,16,51,590,8.9,565,79,9,9.8
4691,751,0,0,3,0.06,18,0.2,9,10.7
4696,2,0,0,3,0.06,18,0.2,9,10.7
16098,459,0,9.22,43,1.87,649,0,8.99,0
16398,17,0,9.22,43,1.87,649,0,8.99,0
2029,452,0,7.27,1140,22.04,"2,683",125,8.96,0
2011,277,0,2.38,632,11.83,"1,020",0.2,8.82,0
16087,18,0,3.97,92,4.58,705,0,8.33,0
25017,146,0,30.07,504,11.7,362,92.3,8.28,0
35014,0,,0,0,0,0,,8.27,5.7
12638,306,0,4.38,106,2.57,544,0.5,8.2,0
4044,0,0,0,0,0.05,0,0,8.18,0
4531,0,0,0,0,0,0,0,8.18,0
4699,0,0,0,0,0.05,0,0,8.18,0
4700,0,0,0,0,0.05,0,0,8.18,0
4701,0,0,0,0,0.05,0,0,8.18,0
4650,0,0,0,0,0.02,0,0,8.18,
4669,0,0,0,0,0.02,0,0,8.18,
25030,246,0,9.75,79,1.64,"1,266",12.1,8.16,0
4034,0,0,0,0,0,0,0,8.1,0
4651,0,0,0,0,0,0,0,8.1,0
4652,0,0,0,0,0,0,0,8.1,0
4648,0,0,0,0,0,0,0,8.1,
4649,0,0,0,0,0,0,0,8.1,
4653,0,0,0,0,0,0,0,8.1,
4664,0,0,0,0,0,0,0,8.1,
16149,447,0,3.34,72,2.84,818,0,8.06,0
4133,658,0,,6,0.2,24,0.6,8,
12137,5,0,4.15,117,2.61,632,0.5,7.82,0
12637,273,0,4.15,117,2.61,632,0.5,7.82,0
16090,679,0,4.18,54,2.26,658,0,7.8,0
19115,170,17,52.1,168,1.1,325,0.7,7.75,0
25038,486,3,34,136,1.49,320,0.2,7.6,0
2038,11,0,1.71,1652,28.12,"1,070",32.4,7.48,0
2042,55,0,1.71,1890,123.6,814,50,7.48,0
