"","ID","Description","Calories","Protein","TotalFat","Carbohydrate","Sodium","Cholesterol","Sugar","Calcium","Iron","Potassium","VitaminC","VitaminE","VitaminD","HighSodium","HighCals","HighSugar","HighProtein","HighFat"
"1",1001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,714,215,0.06,24,0.02,24,0,2.32,1.5,1,1,0,0,1
"2",1002,"BUTTER,WHIPPED,WITH SALT",717,0.85,81.11,0.06,827,219,0.06,24,0.16,26,0,2.32,1.5,1,1,0,0,1
"3",1003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,2,256,0,4,0,5,0,2.8,1.8,0,1,0,0,1
"4",1004,"CHEESE,BLUE",353,21.4,28.74,2.34,1395,75,0.5,528,0.31,256,0,0.25,0.5,1,1,0,1,1
"5",1005,"CHEESE,BRICK",371,23.24,29.68,2.79,560,94,0.51,674,0.43,136,0,0.26,0.5,1,1,0,1,1
"6",1006,"CHEESE,BRIE",334,20.75,27.68,0.45,629,100,0.45,184,0.5,152,0,0.24,0.5,1,1,0,1,1
"7",1007,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46,842,72,0.46,388,0.33,187,0,0.21,0.4,1,1,0,1,1
"8",1008,"CHEESE,CARAWAY",376,25.18,29.2,3.06,690,93,8.22935471255377,673,0.64,93,0,1.47435755478662,0.577054226852948,1,1,1,1,1
"9",1009,"CHEESE,CHEDDAR",403,24.9,33.14,1.28,621,105,0.52,721,0.68,98,0,0.29,0.6,1,1,0,1,1
"10",1010,"CHEESE,CHESHIRE",387,23.37,30.6,4.78,700,103,8.22935471255377,643,0.21,95,0,1.47435755478662,0.577054226852948,1,1,1,1,1
"11",1011,"CHEESE,COLBY",394,23.76,32.11,2.57,604,95,0.52,685,0.76,127,0,0.28,0.6,1,1,0,1,1
"12",1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,4.3,3.38,364,17,2.67,83,0.07,104,0,0.08,0.1,1,0,0,0,0
"13",1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,3.85,4.61,344,13,2.38,53,0.16,90,1.4,0.04,0,1,0,0,0,0
"14",1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,0.29,6.66,330,7,1.85,86,0.15,137,0,0.01,0,1,0,0,0,0
"15",1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",86,11.83,2.45,3.66,330,10,3.67,91,0.15,84,0,0.04,0,1,0,0,0,0
"16",1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",72,12.39,1.02,2.72,406,4,2.72,61,0.14,86,0,0.01,0,1,0,0,1,0
"17",1017,"CHEESE,CREAM",342,5.93,34.24,4.07,321,110,3.21,98,0.38,138,0,0.29,0.6,0,1,0,0,1
"18",1018,"CHEESE,EDAM",357,24.99,27.8,1.43,965,89,1.43,731,0.44,188,0,0.24,0.5,1,1,0,1,1
"19",1019,"CHEESE,FETA",264,14.21,21.28,4.09,1116,89,4.09,493,0.65,62,0,0.18,0.4,1,1,0,1,1
"20",1020,"CHEESE,FONTINA",389,25.6,31.14,1.55,800,116,1.55,550,0.23,64,0,0.27,0.6,1,1,0,1,1
"21",1021,"CHEESE,GJETOST",466,9.65,29.51,42.65,600,94,8.22935471255377,400,0.52,1409,0,1.47435755478662,0.577054226852948,1,1,1,0,1
